"id","Nome","Endereco","Numero","Complemento","Bairro","Cidade","Estado","Pais","CEP","Telefone","E-Mail","Horario","Cafe","Express","Delivery","Restaurante","BalcaoViagem","Estacionamento","Cadeirante","Latitude","Longitude"
"1","Amazonas Shopping","Avenida Djalma Batista","482","Loja 385 e 386","Parque 10 de novembro","Manaus","Amazonas","Brasil","69050-010","","","","","","","","","","","-3.094296","-60.024011"
"2","Shopping Ponta Negra","Avenida Coronel Teixeira","5705","Loja 4B3 - 3 Piso","Ponta Negra","Manaus","Amazonas","Brasil","69037-000","","","","","","","","","","","-3.085112","-60.073467"
